Candidate_ID,Resume_Text,Skills,Education,Experience_Years,Job_ID,Job_Title,Required_Skills,Job_Fit_Score,Outcome
Candidate_363,"Experienced professional skilled in Deep Learning, Project Management, Java, SQL, Leadership, Node.js.","Deep Learning, Project Management, Java, SQL, Leadership, Node.js",M.Tech,15,Job_102,Software Engineer,"Agile, Communication, Leadership, SQL, Project Management",0.76,Hired
Candidate_894,"Experienced professional skilled in Node.js, React, Python, C++, Project Management.","Node.js, React, Python, C++, Project Management",MBA,10,Job_108,Machine Learning Engineer,"Java, Deep Learning",0.4,Rejected
Candidate_545,"Experienced professional skilled in Leadership, React, Java.","Leadership, React, Java",MBA,2,Job_132,Frontend Developer,"Java, Deep Learning, Communication, React",0.38,Rejected
Candidate_699,"Experienced professional skilled in C++, Leadership, Deep Learning.","C++, Leadership, Deep Learning",B.Sc,15,Job_373,Frontend Developer,"Python, SQL, Leadership, Project Management, Scrum",0.52,Shortlisted
Candidate_496,"Experienced professional skilled in SQL, Deep Learning, Communication.","SQL, Deep Learning, Communication",B.Tech,2,Job_278,Machine Learning Engineer,"Deep Learning, Node.js",0.38,Rejected
Candidate_467,"Experienced professional skilled in SQL, Deep Learning, Leadership.","SQL, Deep Learning, Leadership",B.Sc,1,Job_492,Machine Learning Engineer,"Python, Deep Learning, Agile, Machine Learning",0.19,Rejected
Candidate_28,"Experienced professional skilled in Java, Project Management, SQL, Scrum.","Java, Project Management, SQL, Scrum",M.Tech,15,Job_401,Project Manager,"Node.js, Machine Learning",0.4,Rejected
Candidate_813,"Experienced professional skilled in Agile, Machine Learning, C++, Communication, Node.js.","Agile, Machine Learning, C++, Communication, Node.js",M.Tech,12,Job_159,Project Manager,"Scrum, Communication, Agile",0.8,Hired
Candidate_614,"Experienced professional skilled in Deep Learning, Communication, Scrum, Machine Learning.","Deep Learning, Communication, Scrum, Machine Learning",B.Sc,4,Job_185,Project Manager,"Communication, Leadership, React, SQL, Scrum",0.4,Rejected
Candidate_669,"Experienced professional skilled in React, SQL, Deep Learning, Project Management, C++.","React, SQL, Deep Learning, Project Management, C++",MBA,12,Job_331,Data Scientist,"SQL, Leadership, Project Management, Scrum, React",0.76,Hired
Candidate_931,"Experienced professional skilled in Machine Learning, Agile, C++, Project Management, Leadership, Python.","Machine Learning, Agile, C++, Project Management, Leadership, Python",M.Sc,8,Job_136,Machine Learning Engineer,"Node.js, SQL",0.32,Rejected
Candidate_633,"Experienced professional skilled in Leadership, React, Machine Learning, Scrum, Project Management.","Leadership, React, Machine Learning, Scrum, Project Management",M.Tech,9,Job_282,Data Scientist,"Communication, Machine Learning, Node.js",0.56,Shortlisted
Candidate_410,"Experienced professional skilled in SQL, Project Management, Java, Communication, C++, Leadership.","SQL, Project Management, Java, Communication, C++, Leadership",MBA,5,Job_83,Backend Developer,"React, Scrum, SQL",0.4,Rejected
Candidate_550,"Experienced professional skilled in Agile, React, C++, SQL, Machine Learning, Deep Learning.","Agile, React, C++, SQL, Machine Learning, Deep Learning",B.Sc,7,Job_51,Data Scientist,"Node.js, Java",0.28,Rejected
Candidate_393,"Experienced professional skilled in Project Management, React, C++.","Project Management, React, C++",B.Tech,4,Job_160,Frontend Developer,"C++, Leadership, Node.js, SQL, Machine Learning",0.28,Rejected
